COUNTY_,NAME,MUNICIPAL_CODE,STATE,COUNTY,LOCAL,TOTAL
ALBANY            ,TOWN OF BERNE                 ,0130680,"$5,116.50","$2,040.00","$4,157.00","$11,313.50"
ALBANY            ,TOWN OF BETHLEHEM             ,0130710,"$245,432.00","$12,072.50","$168,455.50","$425,960.00"
ALBANY            ,TOWN OF COEYMANS              ,0131800,"$127,196.75","$6,450.00","$174,825.25","$308,472.00"
ALBANY            ,TOWN OF COLONIE               ,0131870,"$596,195.10","$47,756.50","$446,178.00","$1,090,129.60"
ALBANY            ,TOWN OF GREEN ISLAND          ,0133450,"$29,667.00",$620.00,"$38,026.00","$68,313.00"
ALBANY            ,TOWN OF GUILDERLAND           ,0133550,"$349,871.00","$25,202.50","$446,933.00","$822,006.50"
ALBANY            ,TOWN OF KNOX                  ,0134430,"$2,037.00",$570.00,"$1,505.00","$4,112.00"
ALBANY            ,TOWN OF NEW SCOTLAND          ,0135810,"$29,630.00","$10,107.50","$44,172.50","$83,910.00"
ALBANY            ,TOWN OF RENSSELAERVILLE       ,0137060,"$3,283.50",$710.00,"$2,599.50","$6,593.00"
ALBANY            ,TOWN OF WESTERLO              ,0138900,"$13,221.00","$3,570.00","$10,086.00","$26,877.00"
ALBANY            ,VILLAGE OF ALTAMONT           ,0140120,"$4,020.00",$790.00,"$4,755.00","$9,565.00"
ALBANY            ,VILLAGE OF MENANDS            ,0143040,"$93,217.00","$7,100.00","$149,085.00","$249,402.00"
ALLEGANY          ,TOWN OF ALFRED                ,0230100,"$14,192.75",$550.00,"$9,679.75","$24,422.50"
ALLEGANY          ,TOWN OF ALLEN                 ,0230120,"$1,120.00",$0.00,$530.00,"$1,650.00"
ALLEGANY          ,TOWN OF ALMA                  ,0230130,"$3,445.00",$470.00,"$1,773.00","$5,688.00"
ALLEGANY          ,TOWN OF ALMOND                ,0230140,"$22,237.25","$1,590.00","$14,312.75","$38,140.00"
