NAME,REVENUE
Town of Adams,2974611.36
Town of Addison,730282.84
Town of Afton,1247335.11
Town of Alabama,3313929.57
Town of Albion,3694054
Town of Alden,5076359
Town of Alexander,2106689
Town of Alexandria,5398875.12
Town of Alfred,886254
Town of Allegany,4266488.25
Town of Allen,564260
Town of Alma,920816.06
Town of Almond,1090389
Town of Altona,1636735
Town of Amboy,1215866.96
Town of Amenia,3494047
Town of Amherst,200101929
Town of Amity,918653
Town of Amsterdam,5714107
Town of Ancram,1819674.73
Town of Andes,2726493.9
Town of Andover,1356824.02
Town of Annsville,2553000.38
Town of Antwerp,1489044
Town of Arcade,1746376.88
Town of Arcadia,9587088
Town of Argyle,2179173.84
Town of Arietta,2452096
Town of Arkwright,1353328.04
Town of Ashford,1664255.06
Town of Ashland,2532504.5
Town of Athens,2209210
Town of Attica,1259940.63
Town of Augusta,1580905.39
Town of Aurelius,4711982.3
Town of Aurora,10028304
Town of Austerlitz,1992804
Town of Ava,850132.96
Town of Avoca,1378224.14
Town of Avon,3008785
Town of Babylon,198589301.9
Town of Bainbridge,1288434.59
Town of Ballston,12304323.64
Town of Bangor,1290311
Town of Barker,1986993.92
Town of Barre,2480744
Town of Barrington,1778531
Town of Barton,2605239.84
Town of Batavia,13363621
Town of Bath,4262103.77
Town of Bedford,50223286
Town of Beekman,6184630
Town of Beekmantown,3556448.58
Town of Belfast,1179196
Town of Bellmont,1811616
Town of Bennington,2047251.4
Town of Benson,594979.13
Town of Benton,2016022.1
Town of Bergen,1986058
Town of Berlin,1780736.95
Town of Berne,2665477.63
Town of Bethany,1799722
Town of Bethel,9098960
Town of Bethlehem,51598577
Town of Big Flats,7315072
Town of Binghamton,4375068.22
Town of Birdsall,498994
Town of Black Brook,2495981.83
Town of Bleecker,898418.38
Town of Blenheim,807927.22
Town of Blooming Grove,20391085.4
Town of Bolivar,981269
Town of Bolton,8830188.76
Town of Bombay,608089.82
Town of Boonville,2283449.57
Town of Boston,5898893
Town of Bovina,1273384.06
Town of Boylston,711613
Town of Brandon,494076
Town of Brant,1972678
Town of Brasher,2216823.77
Town of Bridgewater,1436424.78
Town of Brighton,127009476
Town of Bristol,2534869.96
Town of Broadalbin,2618621.98
Town of Brookfield,1924347.84
Town of Brookhaven,1572619565
Town of Broome,1298149.64
Town of Brownville,4207304
Town of Brunswick,9676002
Town of Brutus,2295566.06
Town of Burke,1249590.22
Town of Burlington,1238114.12
Town of Burns,829586
Town of Busti,3790934.86
Town of Butler,1303198
Town of Byron,2277954
Town of Caledonia,1450600.6
Town of Callicoon,3642805
Town of Cambria,5882618
Town of Cambridge,1230966.13
Town of Camden,2203923
Town of Cameron,1210080.23
Town of Camillus,22465619.28
Town of Campbell,2760752.48
Town of Canaan,1630992
Town of Canadice,3120725.75
Town of Canajoharie,1672623.71
Town of Canandaigua,12907563.37
Town of Candor,2973488.38
Town of Caneadea,2021949
Town of Canisteo,1101795.45
Town of Canton,3465442.9
Town of Cape Vincent,3302057
Town of Carlisle,1040333.14
Town of Carlton,2969379
Town of Carmel,50879922.76
Town of Caroga,4098463.68
Town of Caroline,2760188.43
Town of Carroll,2403499
Town of Castile,2061116
Town of Catlin,2236888.97
Town of Caton,1408097.77
Town of Catskill,6928942
Town of Cayuta,374425.98
Town of Cazenovia,4856675.73
Town of Centerville,841164
Town of Champion,2917755.27
Town of Champlain,3123146.43
Town of Charleston,1657414.97
Town of Charlotte,1543389
Town of Charlton,3237829.34
Town of Chateaugay,2185714
Town of Chatham,4119974
Town of Chautauqua,5586669.05
Town of Chazy,1999292
Town of Cheektowaga,96482903
Town of Chemung,2119966.1
Town of Chenango,8377934
Town of Cherry Creek,1588701
Town of Cherry Valley,2078016
Town of Chester,19777932.1
Town of Chesterfield,4323711.5
Town of Chili,19302546
Town of Cicero,22554452.53
Town of Cincinnatus,721287.66
Town of Clarence,45701344
Town of Clarendon,2595670.31
Town of Clarkson,3503953
Town of Clarkstown,161461845
Town of Clarksville,637946.75
Town of Claverack,3436404
Town of Clay,161888204
Town of Clayton,6108483
Town of Clermont,848442.77
Town of Clifton,1996149.64
Town of Clifton Park,29158105.64
Town of Clinton,5814753.9
Town of Clymer,1210789.49
Town of Cobleskill,1799726.32
Town of Cochecton,1862907
Town of Coeymans,6596847.39
Town of Cohocton,2234203
Town of Colchester,4076825
Town of Colden,2397112.37
Town of Coldspring,482207
Town of Colesville,3090395
Town of Collins,2744438
Town of Colonie,115034856
Town of Colton,3734388.2
Town of Columbia,1033591.48
Town of Columbus,1416822
Town of Concord,4084243
Town of Conesus,2170005
Town of Conesville,972544
Town of Conewango,914141
Town of Conklin,5479647.94
Town of Conquest,1193029
Town of Constable,1128985.17
Town of Constantia,3204015.01
Town of Copake,3028431
Town of Corinth,5551927.73
Town of Corning,3170952
Town of Cornwall,12791173
Town of Cortlandt,211989525
Town of Cortlandville,9216802.86
Town of Covert,1475532.66
Town of Covington,998641
Town of Coxsackie,3677803.07
Town of Crawford,10507932
Town of Croghan,1797738.83
Town of Cuba,2286702
Town of Cuyler,790529.95
Town of Danby,2691475.45
Town of Dannemora,2398926.97
Town of Dansville,1357271.97
Town of Danube,872303
Town of Darien,2271767.15
Town of Day,2310501.01
Town of Dayton,765949
Town of De Kalb,1832079.44
Town of De Peyster,844293.99
Town of De Ruyter,1237285.31
Town of Deerfield,3292714.71
Town of Deerpark,5710827
Town of Delaware,3607376
Town of Delhi,2556536.65
Town of Denmark,2028303.44
Town of Denning,1585389
Town of Deposit,1591163.03
Town of DeWitt,26783197
Town of Diana,1463420.85
Town of Dickinson,4896919.68
Town of Dover,5692618
Town of Dresden,1114693.71
Town of Dryden,11248286.03
Town of Duane,553120
Town of Duanesburg,4964416
Town of Dunkirk,1959293
Town of Durham,2819790
Town of Eagle,1675417.13
Town of East Bloomfield,3773243
Town of East Fishkill,32689079
Town of East Greenbush,22966343.44
Town of East Hampton,174892123
Town of East Otto,1233598
Town of Eastchester,42494755
Town of Easton,1695762
Town of Eaton,1724738.3
Town of Eden,7339047
Town of Edwards,1679913
Town of Elba,3515044
Town of Elbridge,2872845
Town of Elizabethtown,1764170.77
Town of Ellenburg,2487674.43
Town of Ellery,3321924
Town of Ellicott,5156327.79
Town of Ellicottville,4024751.53
Town of Ellington,1490176
Town of Ellisburg,2827681.76
Town of Elma,10052490
Town of Elmira,3678475
Town of Enfield,2292561.42
Town of Ephratah,1461575.69
Town of Erin,1121851.31
Town of Erwin,7063858.07
Town of Esopus,6246112.43
Town of Esperance,2805024.9
Town of Essex,1742038.17
Town of Evans,19525549
Town of Fabius,1501742.32
Town of Fairfield,1292897
Town of Fallsburg,25932393.25
Town of Farmersville,1009324.72
Town of Farmington,21770295.22
Town of Fayette,1654700
Town of Fenner,1205328
Town of Fenton,4352700.41
Town of Fine,2183352
Town of Fishkill,20322823.75
Town of Fleming,2625087.93
Town of Florence,938815
Town of Florida,4686367.71
Town of Floyd,3098112.93
Town of Forestburgh,2326711
Town of Forestport,2782969.17
Town of Fort Ann,2934664
Town of Fort Covington,1152508
Town of Fort Edward,2164150.43
Town of Fowler,1863527.43
Town of Frankfort,4830633
Town of Franklin,4271807.83
Town of Franklinville,1493103.74
Town of Freedom,1550544.14
Town of Freetown,650779.19
Town of Fremont,1081221
Town of French Creek,1089725.14
Town of Friendship,2283590
Town of Fulton,920426.99
Town of Gaines,1301775.22
Town of Gainesville,1176536
Town of Galen,1368982
Town of Gallatin,1260835
Town of Galway,2951396.26
Town of Gardiner,3568349.16
Town of Gates,91217703.42
Town of Geddes,10478852.55
Town of Genesee,967284.29
Town of Genesee Falls,700817
Town of Geneseo,3551691
Town of Geneva,4920758.12
Town of Genoa,1768823.42
Town of Georgetown,1096144.86
Town of German Flatts,3160048
Town of Germantown,1725920
Town of Gerry,1395391
Town of Ghent,2952076
Town of Gilboa,2589703
Town of Glen,2412573.15
Town of Glenville,20028684.46
Town of Gorham,5060751
Town of Goshen,10064567
Town of Gouverneur,3094356.48
Town of Grafton,1636366.12
Town of Granby,4509806.01
Town of Grand Island,65036768
Town of Granger,684379
Town of Granville,2181784.66
Town of Great Valley,1577006.37
Town of Greece,104793396
Town of Green Island,243524
Town of Greenburgh,131221484.2
Town of Greene,3088136.86
Town of Greenfield,6674841.68
Town of Greenport,6828234.5
